0	p1	p2	q1	q2
1	35.278	28.636	40.312	48.597
2	33.373	35.656	51.414	50.092
3	40.289	41.11	43.215	41.059
4	33.944	45.671	42.064	39.123
5	37.595	32.125	48.345	52.944
6	28.29	27.47	43.099	46.589
7	34.313	33.917	46.438	46.929
8	31.422	27.235	42.449	48.007
9	26.173	26.926	38.626	46.123
10	24.042	28.178	38.601	44.028
11	33.541	36.497	38.328	41.536
12	28.805	27.514	37.809	37.466
13	26.936	23.77	39.601	42.657
14	32.144	33.325	31.629	39.721
15	31.73	29.662	29.155	32.706
16	28.46	29.155	31.487	33.526
17	32.894	30.594	34.335	33.652
18	24.597	22.804	38.641	40.56
19	25.06	23.537	31.048	39.082
20	31.166	26.401	32.205	31.684
21	26.42	26.173	29.374	33.375
22	25.06	22.204	28.46	29.994
23	34	28.284	58.5	57.43
24	26.422	23.77	45.22	49.484
25	25.845	24.698	50.325	48.26
26	34.435	24.597	50.16	49.525
27	22.765	23.857	47.795	49.469
28	19.313	22.544	51.41	44.999
29	21.095	21.213	40.447	45.401
30	20.396	16.553	39.459	42.19
31	15.264	14.318	42.719	46.027
32	21.197	15.652	40.853	38.024
33	20	16.125	33.782	41.021
34	20.591	16.553	32.601	37.361
35	12.166	16.031	33.452	34.28
36	14.213	9.487	28.862	29.967
37	0	0	79.65	78.278
38	0	0	82.981	78.297
39	0	0	76.907	74.955
40	0	0	62.557	67.203
41	7.81	7.071	50.948	50.599
42	6.325	5	55.149	46.012
43	5.312	11.146	50.673	50.466
44	4.55	5.657	52.101	52.012
45	0	0	57.14	64.692
46	0	0	51.324	52.925
47	0	0	52.739	53.329
48	0	0	51.454	56.145
49	0	0	49.092	48.928
50	0	0	44	59.167
